scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,pv_capex_scaleable,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_scaleable,pv_kW_peak,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
23,W_bldg2_023,cp_only,72.0,W,0.0,0.0,2398.6111837849226,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,15945.204650847443,0.0,18343.81583463236,0.0,0.0,0.0,-1493556.130709949,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126283.49681916626,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,128682.1080029512,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,20,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-20743.83514874929,-21377.551106841078,633.7159580917869,0.0,0.0,3.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,378.6002234094648,31.685797904589343,2281.3774491304325,a72_cp22,a72_cp22_pv015
24,W_bldg2_024,cp_only,72.0,W,0.0,0.0,2910.9537319115548,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,15945.204650847443,0.0,18856.158382759,0.0,0.0,0.0,-1668577.5328499242,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126283.49681916626,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,129194.45055107785,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,25,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-23174.68795624895,-23787.954737500655,613.2667812517066,0.0,0.0,4.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,473.250279261831,24.530671250068263,1766.2083300049148,a72_cp22,a72_cp22_pv015
25,W_bldg2_025,cp_only,72.0,W,0.0,0.0,4210.684173109477,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,15882.986641480953,0.0,20093.67081459043,0.0,0.0,0.0,-554091.9735552957,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126204.33018973294,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,130415.0143628424,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,5,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-7695.721854934663,-7825.441276180068,129.7194212454051,0.23539750092436407,0.23539750092436407,0.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,94.6500558523662,25.94388424908102,1867.9596659338333,a72_cp22,a72_cp22_pv015
26,W_bldg2_026,cp_only,72.0,W,0.0,0.0,2418.026532289163,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,15882.986641480953,0.0,18301.01317377012,0.0,0.0,0.0,-959563.732294558,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126204.33018973294,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,128622.35672202207,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,10,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-13327.27405964664,-13740.797308598916,413.52324895227684,0.23539750092436407,0.23539750092436407,1.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,189.3001117047324,41.35232489522768,2977.367392456393,a72_cp22,a72_cp22_pv015
27,W_bldg2_027,cp_only,72.0,W,0.0,0.0,2825.2326603062525,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,15882.986641480953,0.0,18708.219301787205,0.0,0.0,0.0,-1269823.284531117,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126204.33018973294,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,129029.5628500392,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,15,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-17636.434507376624,-18126.277801920518,489.84329454389444,0.23539750092436407,0.23539750092436407,2.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,283.9501675570986,32.65621963625963,2351.247813810693,a72_cp22,a72_cp22_pv015
28,W_bldg2_028,cp_only,72.0,W,0.0,0.0,2398.6111837849226,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,15882.986641480953,0.0,18281.597825265875,0.0,0.0,0.0,-1492637.2787687362,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126204.33018973294,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,128602.94137351785,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,20,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-20731.073316232447,-21377.551106841078,646.477790608631,0.23539750092436407,0.23539750092436407,3.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,378.6002234094648,32.32388953043155,2327.3200461910715,a72_cp22,a72_cp22_pv015
29,W_bldg2_029,cp_only,72.0,W,0.0,0.0,2910.9537319115548,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,15882.986641480953,0.0,18793.940373392506,0.0,0.0,0.0,-1667555.0767098956,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126204.33018973294,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,129115.28392164447,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,25,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-23160.487176526327,-23787.954737500655,627.4675609743281,0.23539750092436407,0.23539750092436407,4.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,473.250279261831,25.098702438973124,1807.106575606065,a72_cp22,a72_cp22_pv015
30,W_bldg2_030,cp_only,72.0,W,0.0,0.0,4210.684173109477,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,15851.87763679771,0.0,20062.561809907187,0.0,0.0,0.0,-553923.7966235348,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126164.74687501641,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,130375.43104812587,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,5,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-7693.386064215761,-7825.441276180068,132.0552119643071,0.3530962513889335,0.3530962513889335,0.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,94.6500558523662,26.411042392861418,1901.595052286022,a72_cp22,a72_cp22_pv015
31,W_bldg2_031,cp_only,72.0,W,0.0,0.0,2418.026532289163,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,15851.87763679771,0.0,18269.904169086876,0.0,0.0,0.0,-959268.4281641252,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126164.74687501641,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,128582.77340730555,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,10,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-13323.172613390627,-13740.797308598916,417.62469520828927,0.3530962513889335,0.3530962513889335,1.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,189.3001117047324,41.76246952082893,3006.897805499683,a72_cp22,a72_cp22_pv015
32,W_bldg2_032,cp_only,72.0,W,0.0,0.0,2825.2326603062525,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,0.0,21.55713016986636,15851.87763679771,0.0,18677.110297103958,0.0,0.0,0.0,-1269433.7318302023,0.0,0.0,0.0,989.582867914446,387399.24358882674,5.412954376833987,36582.23092794399,126164.74687501641,95.52491296449709,95.52491296449689,5.170719957278603,5.170719957278409,0.0,128989.97953532265,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp15,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,15,0.06,True,15.0,W_max_yield_scale,15.0,0.20833333333333334,-17631.024053197252,-18126.277801920518,495.25374872326574,0.3530962513889335,0.3530962513889335,2.0,22113.153555754143,17137.694005709458,1362.9608042740733,18.93001117047324,283.9501675570986,33.01691658155105,2377.217993871676,a72_cp22,a72_cp22_pv015
