scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
3,W_bldg2en_cust_003,bau,72.0,W,0.0,0.0,0.0,1532.4762801155393,0.0,1532.4762801155393,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1539183.6796925575,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
4,W_bldg2en_cust_004,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1352.184953043123,0.0,1352.184953043123,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.8410719693,-1238234.1728179194,97357.31661910485,106684.02765938245,-9326.711040277592,9744.892303014321,309176.1490368766,26.703908259313035,34402.32429454615,75263.8410719693,91.06723515319608,91.06723515319626,24.31851092960235,24.318510929602112,0.0,106684.02765938245,0.0,408522.8142766657
5,W_bldg2en_cust_005,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1385.4969826342403,0.0,1385.4969826342403,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.8410719693,-1238234.1728179194,99755.78274966523,106684.02765938245,-6928.2449097172175,9744.892303014321,309176.1490368766,26.703908259313035,34402.32429454615,75263.8410719693,91.06723515319608,91.06723515319626,24.31851092960235,24.318510929602112,0.0,106684.02765938245,0.0,408522.8142766657
66,W_bldg2en_cust_066,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1468.5624793832878,0.0,1468.5624793832878,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.8410719693,-1238234.1728179196,105736.49851559674,106684.02765938245,-947.5291437857039,9744.892303014321,309176.1490368766,26.703908259313035,34402.32429454615,75263.8410719693,91.06723515319608,91.06723515319626,24.31851092960235,24.318510929602112,0.0,106684.02765938247,0.0,408522.8142766657
67,W_bldg2en_cust_067,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1420.439722196141,0.0,1420.439722196141,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.8410719693,-1238234.172817919,102271.65999812195,106684.02765938245,-4412.367661260497,9744.892303014321,309176.1490368766,26.703908259313035,34402.32429454615,75263.8410719693,91.06723515319608,91.06723515319626,24.31851092960235,24.318510929602112,0.0,106684.02765938242,0.0,408522.8142766657
68,W_bldg2en_cust_068,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1331.662239558882,0.0,1331.662239558882,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.8410719693,-1238234.1728179194,95879.68124823943,106684.02765938245,-10804.34641114302,9744.892303014321,309176.1490368766,26.703908259313035,34402.32429454615,75263.8410719693,91.06723515319608,91.06723515319626,24.31851092960235,24.318510929602112,0.0,106684.02765938245,0.0,408522.8142766657
