scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
96,C_bldg2_096,btm_p_c,12.0,C,778.44,1508.1024983753894,1692.618572602414,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474927,0.0,0.0,0.0,-70888.25299051778,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-2801.2822604974776,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_ppa1,SIT_15_ppa1,TIDNULL,EA225,ppa_1,10,0.06,C_max_pv,10.5,0.875,-5907.354415876482,-6335.862715504815,428.5082996283336,43.2339354727341,43.233935472734174,1.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,663.0938715075957,42.85082996283336,514.2099595540003,a12_cp21,a12_cp21_pv010
98,C_bldg2_098,btm_p_c,12.0,C,778.44,973.1999498367501,1679.0278286494454,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474927,0.0,0.0,0.0,-110285.97665370797,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-2252.7889680058693,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_ppa1,SIT_15_ppa1,TIDNULL,EA225,ppa_1,20,0.06,C_max_pv,10.5,0.875,-9190.498054475664,-9857.159374723638,666.6613202479748,43.2339354727341,43.233935472734174,3.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,1326.1877430151915,33.33306601239874,399.99679214878483,a12_cp21,a12_cp21_pv010
100,C_bldg2_100,btm_p_c,12.0,C,778.44,2626.1677597575367,2947.478921176634,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729532,460.5957933745397,1349.8956707474927,0.0,0.0,0.0,-40371.155216818814,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-4617.324843621729,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT8_ppa1,SIT_15_FIT8_ppa1,TIDNULL,EA225,ppa_1,5,0.06,C_max_pv,10.5,0.875,-3364.262934734901,-3608.3001954402066,244.03726070530547,43.23393547273416,43.233935472734174,0.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,331.54693575379787,48.80745214106109,585.689425692733,a12_cp21,a12_cp21_pv010
101,C_bldg2_101,btm_p_c,12.0,C,778.44,1508.1024983753894,1692.618572602414,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729532,460.5957933745397,1349.8956707474927,0.0,0.0,0.0,-70888.25299051781,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-2244.399233665364,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT8_ppa1,SIT_15_FIT8_ppa1,TIDNULL,EA225,ppa_1,10,0.06,C_max_pv,10.5,0.875,-5907.354415876484,-6335.862715504815,428.50829962833086,43.23393547273416,43.233935472734174,1.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,663.0938715075957,42.85082996283309,514.2099595539971,a12_cp21,a12_cp21_pv010
103,C_bldg2_103,btm_p_c,12.0,C,778.44,973.1999498367501,1679.0278286494454,573.1649610400403,106.1805036614917,679.345464701532,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,889.2998773729532,460.5957933745397,1349.8956707474927,0.0,0.0,0.0,-110285.97665370797,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7767.279409853439,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-1695.9059411737555,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT8_ppa1,SIT_15_FIT8_ppa1,TIDNULL,EA225,ppa_1,20,0.06,C_max_pv,10.5,0.875,-9190.498054475664,-9857.159374723638,666.6613202479748,43.23393547273416,43.233935472734174,3.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,1326.1877430151915,33.33306601239874,399.99679214878483,a12_cp21,a12_cp21_pv010
105,C_bldg2_105,btm_p_c,12.0,C,778.44,2626.1677597575367,2947.478921176634,556.7405840339724,122.6048806675598,679.345464701532,0.0,0.0,0.0,-1.1641532182693482e-12,21.020477998911687,807.9508880297137,541.9447827177792,1349.8956707474927,0.0,0.0,0.0,-40371.15521681882,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7488.8378964373815,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-4338.883330205673,9502.041247165878,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT12_ppa1,SIT_15_FIT12_ppa1,TIDNULL,EA225,ppa_1,5,0.06,C_max_pv,10.5,0.875,-3364.2629347349016,-3608.3001954402066,244.03726070530502,43.23393547273403,43.233935472734174,0.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,331.54693575379787,48.807452141061006,585.6894256927321,a12_cp21,a12_cp21_pv010
106,C_bldg2_106,btm_p_c,12.0,C,778.44,1508.1024983753894,1692.618572602414,556.7405840339724,122.6048806675598,679.345464701532,0.0,0.0,0.0,0.0,21.020477998911687,807.9508880297137,541.9447827177792,1349.8956707474927,0.0,0.0,0.0,-70888.25299051781,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7488.8378964373815,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-1965.9577202493072,9502.041247165878,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT12_ppa1,SIT_15_FIT12_ppa1,TIDNULL,EA225,ppa_1,10,0.06,C_max_pv,10.5,0.875,-5907.354415876484,-6335.862715504815,428.50829962833086,43.23393547273403,43.233935472734174,1.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,663.0938715075957,42.85082996283309,514.2099595539971,a12_cp21,a12_cp21_pv010
108,C_bldg2_108,btm_p_c,12.0,C,778.44,973.1999498367501,1679.0278286494454,556.7405840339724,122.6048806675598,679.345464701532,0.0,0.0,0.0,0.0,21.020477998911687,807.9508880297137,541.9447827177792,1349.8956707474927,0.0,0.0,0.0,-110285.97665370801,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,7488.8378964373815,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-1417.4644277576986,9502.041247165878,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_FIT12_ppa1,SIT_15_FIT12_ppa1,TIDNULL,EA225,ppa_1,20,0.06,C_max_pv,10.5,0.875,-9190.498054475667,-9857.159374723638,666.6613202479712,43.23393547273403,43.233935472734174,3.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,1326.1877430151915,33.33306601239856,399.99679214878273,a12_cp21,a12_cp21_pv010
110,C_bldg2_110,btm_p_c,12.0,C,778.44,2626.1677597575367,2947.478921176634,606.0137150521766,81.47972183261719,687.4934368847937,0.0,0.0,0.0,3.4924596548080443e-12,21.020477998911687,1051.9978560594325,330.99757187562284,1382.9954279350554,0.0,0.0,0.0,-40927.20332208118,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-5043.332447067141,9632.91667055258,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_ppa2,SIT_15_ppa2,TIDNULL,EA225,ppa_1,5,0.06,C_max_pv,10.5,0.875,-3410.600276840098,-3608.3001954402066,197.6999186001085,35.08596328947239,35.08596328947249,0.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,331.54693575379787,39.5399837200217,474.47980464026045,a12_cp21,a12_cp21_pv010
111,C_bldg2_111,btm_p_c,12.0,C,778.44,1508.1024983753894,1692.618572602414,606.0137150521766,81.47972183261719,687.4934368847937,0.0,0.0,0.0,4.6566128730773935e-12,21.020477998911687,1051.9978560594325,330.99757187562284,1382.9954279350554,0.0,0.0,0.0,-71864.62531746854,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-2670.4068371107737,9632.91667055258,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_ppa2,SIT_15_ppa2,TIDNULL,EA225,ppa_1,10,0.06,C_max_pv,10.5,0.875,-5988.718776455712,-6335.862715504815,347.1439390491032,35.08596328947239,35.08596328947249,1.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,663.0938715075957,34.714393904910324,416.5727268589239,a12_cp21,a12_cp21_pv010
