scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,pv_capex_scaleable,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_scaleable,pv_kW_peak,notes,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,strata_benefit,strata_benefit_unit,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
0,W_bldg3en_cust_000,bau,72.0,W,0.0,0.0,0.0,1532.4762801155393,0.0,1532.4762801155393,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1539183.6796925575,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,20,0.06,,,,,0.0,0.0,-21377.551106841078,-21377.551106841078,0.0,0.0,0.0,0.0,22275.003330946347,309.3750462631437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
1,W_bldg3en_cust_001,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1352.184953043123,0.0,1352.184953043123,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179194,97357.31661910484,106684.02765938244,-9326.71104027759,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938244,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,EASO_TOU_25pc,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.696844693324,-21377.551106841078,4179.854262147754,180.29132707241638,180.29132707241638,0.0,12948.292290668756,179.83739292595496,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.9927131073877,15047.475343731914,a72_cp22,a72_cp22_pv074
2,W_bldg3en_cust_002,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1385.4969826342403,0.0,1385.4969826342403,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179194,99755.78274966523,106684.02765938244,-6928.244909717218,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938244,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,STC_20,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.696844693324,-21377.551106841078,4179.854262147754,146.979297481299,146.979297481299,0.0,15346.75842122913,213.14942251707123,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.9927131073877,15047.475343731914,a72_cp22,a72_cp22_pv074
3,W_bldg3en_cust_003,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1442.330616579331,0.0,1442.330616579331,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179194,103847.80439371167,106684.02765938244,-2836.223265670761,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938244,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,EASO_TOU_20pc,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.696844693324,-21377.551106841078,4179.854262147754,90.1456635362083,90.1456635362083,0.0,19438.780065275587,269.9830564621609,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.9927131073877,15047.475343731914,a72_cp22,a72_cp22_pv074
4,W_bldg3en_cust_004,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1509.2172048333996,0.0,1509.2172048333996,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179192,108663.63874800477,106684.02765938244,1979.6110886223053,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938242,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,EASO_Flat_15pc,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.69684469332,-21377.551106841078,4179.854262147757,23.259075282139747,23.259075282139747,0.0,24254.614419568654,336.8696447162313,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.99271310738786,15047.475343731925,a72_cp22,a72_cp22_pv074
5,W_bldg3en_cust_005,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1420.439722196141,0.0,1420.439722196141,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179192,102271.65999812195,106684.02765938244,-4412.367661260497,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938242,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,EASO_Flat_20pc,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.69684469332,-21377.551106841078,4179.854262147757,112.03655791939832,112.03655791939832,0.0,17862.63566968585,248.09216207897012,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.99271310738786,15047.475343731925,a72_cp22,a72_cp22_pv074
6,W_bldg3en_cust_006,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1468.5624793832876,0.0,1468.5624793832876,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179196,105736.49851559674,106684.02765938244,-947.529143785704,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938248,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,STC_15,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.696844693328,-21377.551106841078,4179.85426214775,63.91380073225173,63.91380073225173,0.0,21327.474187160642,296.21491926612003,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.9927131073875,15047.4753437319,a72_cp22,a72_cp22_pv074
7,W_bldg3en_cust_007,en_pv,72.0,W,18000.0,4195.4202784481795,9224.766308964954,1532.4762801155393,0.0,1532.4762801155393,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,75263.84107196929,-1238234.1728179196,110338.29216831883,106684.02765938244,3654.2645089363855,9744.89230301432,309176.1490368766,26.703908259313035,34402.32429454615,75263.84107196929,91.06723515319608,91.06723515319626,24.31851092960235,24.31851092960211,0.0,106684.02765938248,0.0,408522.8142766657,W_max_yield.csv,W,en_pv,W_max_yield,False,TIDNULL,EASO_TOU_15pc,EA305_TOU12,EA305,capex_med,20,0.06,False,,,W_max_yield,74.0,1.0277777777777777,-17197.696844693328,-21377.551106841078,4179.85426214775,0.0,0.0,0.0,25929.267839882734,360.1287199983713,109091.55754280412,84545.95709567318,6723.939967818888,93.38805510859567,1867.7611021719133,208.9927131073875,15047.4753437319,a72_cp22,a72_cp22_pv074
