,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-26 04:00:00,-9.070000000000002,0.0,0.0,0.0,9.070000000000002,0.0,0.0,-9.070000000000002
2017-02-26 04:30:00,-8.742,0.0,0.0,0.0,8.742,0.0,0.0,-8.742
2017-02-26 05:00:00,-8.500000000000002,0.0,0.0,0.0,8.500000000000002,0.0,0.0,-8.500000000000002
2017-02-26 05:30:00,-9.053,0.0,0.0,0.0,9.053,0.0,0.0,-9.053
2017-02-26 06:00:00,-8.5816707435,0.0,0.0,0.0,8.5816707435,0.021037145,0.0,-8.5816707435
2017-02-26 06:30:00,-6.3438071766999995,0.0,0.6061377309285714,0.0,6.3438071766999995,0.7170550923714287,0.0,-6.3438071766999995
2017-02-26 07:00:00,-2.8574124262000007,0.0,2.4907250491999995,0.0,2.8574124262000007,1.7418625245999997,0.0,-2.8574124262000007
2017-02-26 07:30:00,-0.12119494769999983,0.0,4.439837543583333,0.0,0.12119494769999983,2.1539675087166663,0.0,-0.12119494769999983
2017-02-26 08:00:00,0.3281841454000011,-0.0010000000000000009,6.451153454499999,0.0,0.0,2.7230306908999995,0.0,0.3271841454000011
2017-02-26 08:30:00,2.689595164799999,-1.0000000000065512e-05,7.9554959706666635,0.0,0.0,2.8090991941333328,0.0,2.689585164799999
2017-02-26 09:00:00,4.690723771200001,-1.0000000028043132e-07,10.334769809333334,0.0,0.0,3.320953961866667,0.0,4.690723671200001
2017-02-26 09:30:00,7.674447351999998,-1.000000082740371e-09,11.564872793333333,0.0,0.0,3.324574558666667,0.0,7.674447350999998
2017-02-26 10:00:00,7.2211131823,-1.000000082740371e-11,11.942760985250002,0.0,0.0,4.19935219705,0.0,7.22111318229
2017-02-26 10:30:00,9.810130762599997,-9.947598300641403e-14,14.095942302166666,0.0,0.0,4.469188460433333,0.0,9.810130762599897
2017-02-26 11:00:00,9.2373163525,-1.7763568394002505e-15,15.235430293750005,0.0,0.0,4.695886058750001,0.0,9.237316352499999
2017-02-26 11:30:00,8.6333484603,0.0,14.712957050250003,0.0,0.0,4.60939141005,0.0,8.6333484603
2017-02-26 12:00:00,7.502914522100001,0.0,14.46392876841667,0.0,0.0,4.489985753683334,0.0,7.502914522100001
2017-02-26 12:30:00,7.091576660199996,0.0,13.313813883499996,0.0,0.0,4.1927627766999995,0.0,7.091576660199996
2017-02-26 13:00:00,6.862113149599998,0.0,12.020260957999996,0.0,0.0,4.3108521916,0.0,6.862113149599998
2017-02-26 13:30:00,8.102311053800001,0.0,12.391092544833338,0.0,0.0,4.068218508966667,0.0,8.102311053800001
2017-02-26 14:00:00,6.131523566900003,0.0,10.728269639083333,0.0,0.0,3.8112539278166673,0.0,6.131523566900003
2017-02-26 14:30:00,4.121276049699999,0.0,8.842063374749998,0.0,0.0,3.3932126749499996,0.0,4.121276049699999
2017-02-26 15:00:00,0.8940836175999997,0.0,6.790403014666666,0.0,0.0,2.9516806029333336,0.0,0.8940836175999997
2017-02-26 15:30:00,0.6305412005999989,0.0,5.944117667166667,0.0,0.0,2.806423533433333,0.0,0.6305412005999989
2017-02-26 16:00:00,-0.13661148470000128,0.001,5.782990429416666,0.0,0.13661148470000128,2.691398085883333,0.00016666666666666666,-0.13561148470000128
2017-02-26 16:30:00,-1.2156830292999992,0.0,4.795597475583334,0.0,1.2156830292999992,2.5767194951166674,0.0,-1.2156830292999992
2017-02-26 17:00:00,-3.850708520600001,0.0,3.0805276529333327,0.0,3.850708520600001,2.0097638264666666,0.0,-3.850708520600001
2017-02-26 17:30:00,-6.737326043000001,0.0,1.4711956835714282,0.0,6.737326043000001,1.0644782734285714,0.0,-6.737326043000001
2017-02-26 18:00:00,-8.280754122999998,0.0,0.017641679142857178,0.0,8.280754122999998,0.3066041978571429,0.0,-8.280754122999998
2017-02-26 18:30:00,-9.966554131199999,0.0,0.0,0.0,9.966554131199999,0.0038897280000000003,0.0,-9.966554131199999
2017-02-26 19:00:00,-8.57,0.0,0.0,0.0,8.57,0.0,0.0,-8.57
2017-02-26 19:30:00,-8.753,0.0,0.0,0.0,8.753,0.0,0.0,-8.753
2017-02-26 20:00:00,-10.285,0.0,0.0,0.0,10.285,0.0,0.0,-10.285
2017-02-26 20:30:00,-9.816,0.0,0.0,0.0,9.816,0.0,0.0,-9.816
2017-02-26 21:00:00,-7.757,0.0,0.0,0.0,7.757,0.0,0.0,-7.757
2017-02-26 21:30:00,-9.014000000000001,0.0,0.0,0.0,9.014000000000001,0.0,0.0,-9.014000000000001
2017-02-26 22:00:00,-8.222999999999999,0.0,0.0,0.0,8.222999999999999,0.0,0.0,-8.222999999999999
2017-02-26 22:30:00,-7.925000000000001,0.0,0.0,0.0,7.925000000000001,0.0,0.0,-7.925000000000001
