,Participant 1,Participant 2,Participant 3
2017-02-26 03:30:00,0.026500000000000003,0.026500000000000003,0.026500000000000003
2017-02-26 04:00:00,0.0158,0.0158,0.0158
2017-02-26 04:30:00,0.016800000000000002,0.016800000000000002,0.016800000000000002
2017-02-26 05:00:00,0.016800000000000002,0.016800000000000002,0.016800000000000002
2017-02-26 05:30:00,0.017,0.017,0.017
2017-02-26 06:00:00,0.0429446995,0.0429446995,0.0429446995
2017-02-26 06:30:00,0.0131476959,0.0131476959,0.0131476959
2017-02-26 07:00:00,0.009455557400000002,0.009455557400000002,0.009455557400000002
2017-02-26 07:30:00,0.006327762900000002,0.006327762900000002,0.006327762900000002
2017-02-26 08:00:00,0.009636672599999998,0.009636672599999998,0.009636672599999998
2017-02-26 08:30:00,0.004306051200000005,0.004306051200000005,0.004306051200000005
2017-02-26 09:00:00,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,0.0
2017-02-26 10:30:00,0.0,0.0,0.0
2017-02-26 11:00:00,0.0,0.0,0.0
2017-02-26 11:30:00,0.0,0.0,0.0
2017-02-26 12:00:00,0.0,0.0,0.0
2017-02-26 12:30:00,0.0,0.0,0.0
2017-02-26 13:00:00,0.07359824320000001,0.07359824320000001,0.07359824320000001
2017-02-26 13:30:00,0.0,0.0,0.0
2017-02-26 14:00:00,0.0,0.0,0.0
2017-02-26 14:30:00,0.0,0.0,0.0
2017-02-26 15:00:00,0.007959699200000015,0.007959699200000015,0.007959699200000015
2017-02-26 15:30:00,0.010647735200000008,0.010647735200000008,0.010647735200000008
2017-02-26 16:00:00,0.008493035700000007,0.008493035700000007,0.008493035700000007
2017-02-26 16:30:00,0.0155830983,0.0155830983,0.0155830983
2017-02-26 17:00:00,0.027257118600000005,0.027257118600000005,0.027257118600000005
2017-02-26 17:30:00,0.03942423299999999,0.03942423299999999,0.03942423299999999
2017-02-26 18:00:00,0.046858713,0.046858713,0.046858713
2017-02-26 18:30:00,0.0626110272,0.0626110272,0.0626110272
2017-02-26 19:00:00,0.026800000000000004,0.026800000000000004,0.026800000000000004
2017-02-26 19:30:00,0.026800000000000004,0.026800000000000004,0.026800000000000004
2017-02-26 20:00:00,0.054000000000000006,0.054000000000000006,0.054000000000000006
2017-02-26 20:30:00,0.027300000000000005,0.027300000000000005,0.027300000000000005
2017-02-26 21:00:00,0.027300000000000005,0.027300000000000005,0.027300000000000005
2017-02-26 21:30:00,0.027500000000000004,0.027500000000000004,0.027500000000000004
2017-02-26 22:00:00,0.027500000000000004,0.027500000000000004,0.027500000000000004
2017-02-26 22:30:00,0.026300000000000004,0.026300000000000004,0.026300000000000004
2017-02-26 23:00:00,0.026300000000000004,0.026300000000000004,0.026300000000000004
2017-02-26 23:30:00,0.026500000000000003,0.026500000000000003,0.026500000000000003
2017-02-27 00:00:00,0.027800000000000005,0.027800000000000005,0.027800000000000005
2017-02-27 00:30:00,0.027000000000000003,0.027000000000000003,0.027000000000000003
2017-02-27 01:00:00,0.027300000000000005,0.027300000000000005,0.027300000000000005
2017-02-27 01:30:00,0.026000000000000002,0.026000000000000002,0.026000000000000002
2017-02-27 02:00:00,0.025500000000000002,0.025500000000000002,0.025500000000000002
2017-02-27 02:30:00,0.052700000000000004,0.052700000000000004,0.052700000000000004
2017-02-27 03:00:00,0.026500000000000003,0.026500000000000003,0.026500000000000003
2017-02-27 03:30:00,0.026300000000000004,0.026300000000000004,0.026300000000000004
2017-02-27 04:00:00,0.016800000000000002,0.016800000000000002,0.016800000000000002
2017-02-27 04:30:00,0.016,0.016,0.016
2017-02-27 05:00:00,0.015300000000000001,0.015300000000000001,0.015300000000000001
2017-02-27 05:30:00,0.0158,0.0158,0.0158
2017-02-27 06:00:00,0.016411292500000004,0.016411292500000004,0.016411292500000004
2017-02-27 06:30:00,0.0156696054,0.0156696054,0.0156696054
2017-02-27 07:00:00,0.1625602411,0.1625602411,0.1625602411
2017-02-27 07:30:00,0.38826175580000005,0.38826175580000005,0.38826175580000005
2017-02-27 08:00:00,2.1269135753999997,2.1269135753999997,2.1269135753999997
2017-02-27 08:30:00,1.9132589772,1.9132589772,1.9132589772
2017-02-27 09:00:00,1.9276850715,1.9276850715,1.9276850715
2017-02-27 09:30:00,2.2305404733,2.2305404733,2.2305404733
2017-02-27 10:00:00,3.0909263705999996,3.0909263705999996,3.0909263705999996
2017-02-27 10:30:00,3.4082035727999997,3.4082035727999997,3.4082035727999997
2017-02-27 11:00:00,1.4620077042,1.4620077042,1.4620077042
2017-02-27 11:30:00,3.5248302036,3.5248302036,3.5248302036
2017-02-27 12:00:00,4.015381146399999,4.015381146399999,4.015381146399999
2017-02-27 12:30:00,2.7602274412,2.7602274412,2.7602274412
2017-02-27 13:00:00,2.7798002848000003,2.7798002848000003,2.7798002848000003
2017-02-27 13:30:00,2.5468567,2.5468567,2.5468567
2017-02-27 14:00:00,2.2762571460000003,2.2762571460000003,2.2762571460000003
2017-02-27 14:30:00,2.29936743,2.29936743,2.29936743
2017-02-27 15:00:00,2.0120030296,2.0120030296,2.0120030296
2017-02-27 15:30:00,1.9347062188,1.9347062188,1.9347062188
2017-02-27 16:00:00,0.0471368394,0.0471368394,0.0471368394
2017-02-27 16:30:00,0.013288225200000003,0.013288225200000003,0.013288225200000003
2017-02-27 17:00:00,0.0233785914,0.0233785914,0.0233785914
2017-02-27 17:30:00,0.03225314729999999,0.03225314729999999,0.03225314729999999
2017-02-27 18:00:00,0.0355042017,0.0355042017,0.0355042017
