,Participant 1,Participant 2
2017-02-28 08:00:00,-3.3603549,0.037732255
2017-02-28 08:30:00,-4.3591872799999996,0.041940636
2017-02-28 09:00:00,-3.1500402800000002,0.080847986
2017-02-28 09:30:00,-2.7683728600000004,0.13533135699999999
2017-02-28 10:00:00,-5.668682800000001,0.11831586
2017-02-28 10:30:00,-5.9749861,0.19165069499999998
2017-02-28 11:00:00,-1.6062575399999988,0.208837123
2017-02-28 11:30:00,0.3813854999999995,0.25771927499999997
2017-02-28 12:00:00,-2.34287168,0.214206416
2017-02-28 12:30:00,2.2175971999999997,0.23412986
2017-02-28 13:00:00,-1.75822624,0.25748868799999997
2017-02-28 13:30:00,-3.642507899999999,0.230874605
2017-02-28 14:00:00,-3.6741021600000003,0.249894892
2017-02-28 14:30:00,-0.3753959199999999,0.22413020399999997
2017-02-28 15:00:00,-0.11893184000000012,0.16330340799999998
2017-02-28 15:30:00,1.0227897200000005,0.165289486
2017-02-28 16:00:00,2.2710850199999997,0.09605425099999998
2017-02-28 16:30:00,1.47415682,0.047707840999999994
2017-02-28 17:00:00,0.8247581199999999,0.034637905999999996
2017-02-28 17:30:00,0.17753083999999997,-0.033123458
2017-02-28 18:00:00,-0.0484753,-0.027173765
2017-02-28 18:30:00,-0.15260256,-0.019380128
2017-02-28 19:00:00,-0.205,-0.051
2017-02-28 19:30:00,-0.223,-0.02
2017-02-28 20:00:00,-0.225,-0.03
2017-02-28 20:30:00,-0.225,-0.048
2017-02-28 21:00:00,-0.212,-0.012
2017-02-28 21:30:00,-0.223,-0.038
2017-02-28 22:00:00,-0.228,-0.04
2017-02-28 22:30:00,-0.22,-0.011000000000000001
2017-02-28 23:00:00,-0.478,-0.043
