,Participant 1,Participant 2
2017-02-28 18:30:00,0.0,0.0
2017-02-28 19:00:00,0.0,0.0
2017-02-28 19:30:00,0.0,0.0
2017-02-28 20:00:00,0.0,0.0
2017-02-28 20:30:00,0.0,0.0
2017-02-28 21:00:00,0.0,0.0
2017-02-28 21:30:00,0.0,0.0
2017-02-28 22:00:00,0.0,0.0
2017-02-28 22:30:00,0.0,0.0
2017-02-28 23:00:00,0.0,0.0
