scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,pv_capex_scaleable,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_scaleable,pv_kW_peak,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
10,W_bldg2en_010,cp_only,72.0,W,0.0,0.0,7794.985576665478,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,12209.237071459496,0.0,20004.222648124975,0.0,0.0,0.0,-553711.9367065488,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,122530.58061971149,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,130325.56619637695,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,5,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-7690.443565368733,-7825.441276180068,134.9977108113344,0.23539750092436407,0.23539750092436407,0.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,189.30011170473247,26.99954216226688,1943.9670356832155,a72_cp22,a72_cp22_pv030
11,W_bldg2en_011,cp_only,72.0,W,0.0,0.0,4476.346638287376,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,12209.237071459496,0.0,16685.583709746872,0.0,0.0,0.0,-947512.1141679615,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,122530.58061971149,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,127006.92725799885,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,10,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-13159.89047455502,-13740.797308598916,580.9068340438953,0.23539750092436407,0.23539750092436407,1.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,378.60022340946495,58.09068340438953,4182.529205116046,a72_cp22,a72_cp22_pv030
12,W_bldg2en_012,cp_only,72.0,W,0.0,0.0,4678.342254700677,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,12209.237071459496,0.0,16887.579326160172,0.0,0.0,0.0,-1251905.7547593825,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,122530.58061971149,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,127208.92287441215,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,15,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-17387.579927213646,-18126.277801920518,738.6978747068715,0.23539750092436407,0.23539750092436407,2.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,567.9003351141974,49.2465249804581,3545.749798592983,a72_cp22,a72_cp22_pv030
13,W_bldg2en_013,cp_only,72.0,W,0.0,0.0,3971.893788202991,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,12209.237071459496,0.0,16181.130859662486,0.0,0.0,0.0,-1468258.0906864374,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,122530.58061971149,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,126502.47440791447,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,20,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-20392.473481756075,-21377.551106841078,985.0776250850031,0.23539750092436407,0.23539750092436407,3.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,757.2004468189299,49.25388125425015,3546.279450306011,a72_cp22,a72_cp22_pv030
14,W_bldg2en_014,cp_only,72.0,W,0.0,0.0,4546.190688881789,1532.240882614616,0.0,1532.240882614616,0.0,0.0,0.0,0.0,21.55713016986636,12209.237071459496,0.0,16755.427760341285,0.0,0.0,0.0,-1641227.1939559546,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,122530.58061971149,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,127076.77130859325,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA305,,25,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-22794.822138277148,-23787.954737500655,993.132599223507,0.23539750092436407,0.23539750092436407,4.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,946.5005585236623,39.72530396894028,2860.2218857637004,a72_cp22,a72_cp22_pv030
15,W_bldg2en_015,cp_only,72.0,W,0.0,0.0,7794.985576665478,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,5.587935447692871e-11,21.55713016986636,11611.821695978653,0.0,19406.807272644128,0.0,0.0,0.0,-551137.7038757394,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,121924.69093419738,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,129719.67651086279,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,5,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-7654.690331607491,-7825.441276180068,170.75094457257637,0.3530962513889335,0.3530962513889335,0.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,189.30011170473247,34.150188914515276,2458.8136018451,a72_cp22,a72_cp22_pv030
16,W_bldg2en_016,cp_only,72.0,W,0.0,0.0,4476.346638287376,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,3.725290298461914e-11,21.55713016986636,11611.821695978653,0.0,16088.168334266027,0.0,0.0,0.0,-942991.9842091607,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,121924.69093419738,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,126401.03757248473,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,10,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-13097.110891793898,-13740.797308598916,643.6864168050179,0.3530962513889335,0.3530962513889335,1.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,378.60022340946495,64.36864168050178,4634.5422009961285,a72_cp22,a72_cp22_pv030
17,W_bldg2en_017,cp_only,72.0,W,0.0,0.0,4678.342254700677,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,3.725290298461914e-11,21.55713016986636,11611.821695978653,0.0,16290.163950679324,0.0,0.0,0.0,-1245942.9907731384,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,121924.69093419738,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,126603.03318889804,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,15,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-17304.76376073803,-18126.277801920518,821.5140411824868,0.3530962513889335,0.3530962513889335,2.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,567.9003351141974,54.767602745499126,3943.267397675937,a72_cp22,a72_cp22_pv030
18,W_bldg2en_018,cp_only,72.0,W,0.0,0.0,3971.893788202991,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,1.862645149230957e-11,21.55713016986636,11611.821695978653,0.0,15583.715484181643,0.0,0.0,0.0,-1461225.79794289,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,121924.69093419738,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,125896.58472240035,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,20,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-20294.802749206807,-21377.551106841078,1082.748357634271,0.3530962513889335,0.3530962513889335,3.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,757.2004468189299,54.13741788171355,3897.8940874833756,a72_cp22,a72_cp22_pv030
19,W_bldg2en_019,cp_only,72.0,W,0.0,0.0,4546.190688881789,1532.1231838641515,0.0,1532.1231838641515,0.0,0.0,0.0,3.725290298461914e-11,21.55713016986636,11611.821695978653,0.0,16158.012384860442,0.0,0.0,0.0,-1633401.9823286585,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,121924.69093419738,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,126470.88162307914,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA305,,25,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-22686.13864345359,-23787.954737500655,1101.8160940470661,0.3530962513889335,0.3530962513889335,4.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,946.5005585236623,44.072643761882645,3173.2303508555506,a72_cp22,a72_cp22_pv030
