timestamp,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,cp
18/09/2017 15:30,0.05029,0.050781111,0.032200278,0.002375833,0.027343889,0.139585556,0.009107222,0.000420278,0.101408611,0.020703333,0.159797222,0.020469167,0.224214444
18/09/2017 16:00,0.051743333,0.077007778,0.012191667,0.028461111,0.017164167,0.207348611,0.038538611,0.023390278,0.102203611,0.074765556,0.132755556,0.018915278,0.220196111
18/09/2017 16:30,0.024276667,0.123012778,0.022768056,0.022480556,0.035594722,0.079655278,0.019740833,0.000349722,0.101795833,0.081639444,0.125590833,0.005301111,0.226910278
18/09/2017 17:00,0.029613056,0.168649722,0.032804444,0.002085278,0.030046944,0.1400525,0.029859167,0.025020833,0.102335833,0.993400556,0.191454722,0.020063889,0.397895833
18/09/2017 17:30,0.049538889,0.107488889,0.022325,0.0301325,0.0212375,0.106186667,0.029509444,0.045911944,0.087341667,0.228921944,0.213670833,0.019517222,0.439990556
18/09/2017 18:00,0.054911389,0.071402778,0.130832778,0.0421875,0.048396389,0.444037222,0.018760833,0.088537222,0.021086389,0.040069167,1.040101667,0.004601111,0.326035556
18/09/2017 18:30,0.054345,0.0581625,0.312163611,0.121071667,0.039923889,0.473293056,0.037946944,0.058848333,0.051427222,0.060765,1.061757222,0.043822222,0.315581944
18/09/2017 19:00,0.064941944,0.196409167,0.084171389,0.077286111,0.053771944,0.165466389,0.009148056,0.076559444,0.069993889,0.060464722,1.062863333,0.037783333,0.303468056
18/09/2017 19:30,0.085818889,0.049606111,0.064373611,0.047949722,0.064143611,0.157970556,0.038070556,0.060039722,0.069069722,0.039788611,1.043711111,0.016619167,0.313881667
18/09/2017 20:00,0.0654225,0.05623,0.047788056,0.031005556,0.043131944,0.373509167,0.011339167,0.067921667,0.036966111,0.061674444,1.284374167,0.017523611,0.303115278
18/09/2017 20:30,0.051535556,0.018278889,0.480700278,0.056693056,0.042558333,0.558449722,0.034421389,0.068151389,0.061173889,0.046256667,0.941733889,0.003266944,0.301688056
18/09/2017 21:00,0.051648611,0.052906944,0.965147222,0.126463889,0.054356667,0.562190278,0.035105278,0.0713475,0.101954167,0.053309722,0.078235278,0.058055,0.303939722
18/09/2017 21:30,0.030725,0.034363333,0.959531389,0.118101667,0.045612222,0.548573611,0.010956944,0.058681111,0.080578889,0.061420278,0.358041667,0.064355556,0.2973075
18/09/2017 22:00,0.024459167,0.045161667,0.806206944,0.103972778,0.029178333,0.157111944,0.0396825,0.01201,0.075225556,0.044393611,0.966686111,0.060086389,0.303357778
18/09/2017 22:30,0.045120556,0.047272222,0.018153333,0.072738889,0.047878889,0.1060825,0.0093225,0.023951389,0.071439444,0.073208056,0.993110833,0.0406875,0.302432222
18/09/2017 23:00,0.028726111,0.043523889,0.028978889,0.084269167,0.049440278,0.0947025,0.038838889,0.000260556,0.085795556,0.653748056,0.941308056,0.019323611,0.311589444
18/09/2017 23:30,0.010834722,0.039990556,0.034893889,0.192603056,0.0223725,0.095183889,0.014941389,0.025651944,0.066373056,1.005979722,0.031320556,0.008486111,0.311126111
19/09/2017 0:00,0.010562222,0.034757778,0.033736111,0.105788056,0.050264167,0.086858056,0.034250556,0.000557778,0.037028333,1.018099167,0.045957778,0.021629167,0.311319722
19/09/2017 0:30,0.010540556,0.012953889,0.022031667,0.103189167,0.041741667,0.035113611,0.0261825,0.025747778,0.087208333,0.994158333,0.061008333,0.0168175,0.311803889
19/09/2017 1:00,0.010726111,0.041540833,0.014268889,0.096647222,0.067304444,0.08436,0.02223,0.000471944,0.085528889,0.604042222,0.014604444,0.007356944,0.3125625
19/09/2017 1:30,0.010768611,0.016622778,0.032060833,0.075398056,0.081859722,0.031513611,0.037935278,0.025678611,0.036853611,0.062046667,0.0146475,0.021493056,0.3079525
19/09/2017 2:00,0.030513333,0.026976667,0.031573889,0.102920278,0.014939722,0.07493,0.009342222,0.000446944,0.062518056,0.024253611,0.050498889,0.017928889,0.310984167
19/09/2017 2:30,0.059427778,0.0338,0.028770833,0.018844722,0.039908333,0.038321389,0.039792222,0.025626667,0.085575,0.040513056,0.054418889,0.006377222,0.308137778
19/09/2017 3:00,0.0477525,0.008990556,0.011298889,0.012957778,0.036391111,0.062531944,0.009311667,0.000469167,0.048873889,0.029898889,0.019121667,0.020910278,0.310950556
19/09/2017 3:30,0.040361667,0.038997222,0.025336389,0.035741389,0.015558889,0.048307778,0.040046944,0.025590833,0.050188333,0.026257222,0.014910278,0.019386111,0.3087375
19/09/2017 4:00,0.010815556,0.012073889,0.030866389,0.002356944,0.027986389,0.051326389,0.018310556,0.00041,0.093343889,0.039688333,0.054291667,0.005466944,0.310540556
19/09/2017 4:30,0.0108175,0.029620833,0.030095833,0.015425833,0.034384167,0.058177222,0.028603611,0.025647222,0.137438333,0.016350556,0.054207778,0.020131667,0.306071389
19/09/2017 5:00,0.010941667,0.025820278,0.0091925,0.031599722,0.027228889,0.039459167,0.036766667,0.000405,0.093156667,0.039908611,0.016702778,0.020938889,0.306526389
19/09/2017 5:30,0.015247222,0.015282222,0.024721111,0.002363611,0.015844722,0.067448889,0.011991389,0.023189722,0.089575278,0.035676389,0.014796389,0.004972222,0.306523333
19/09/2017 6:00,0.056948611,0.037607778,0.0305425,0.10074,0.040918056,0.029001667,0.039610278,0.003154167,0.087105833,0.020316389,0.051791389,0.019092778,0.209628889
19/09/2017 6:30,0.0544675,0.003347222,0.025998889,0.037390556,0.036661111,0.077332222,0.009098889,0.017639167,0.081231111,0.038715,0.051726111,0.021360278,0.200049722
19/09/2017 7:00,0.038370556,0.0375425,0.069241944,0.056444444,0.015088889,0.0164425,0.037858889,0.008481667,0.051284167,0.018940278,0.014882778,0.006440278,0.196630556
19/09/2017 7:30,0.010586667,0.009798056,0.062000278,0.002349722,0.028361944,0.066171667,0.016063889,0.138396667,0.020245278,0.035404167,0.014784444,0.041773611,0.195463333
19/09/2017 8:00,0.010705833,0.030198333,0.032745278,0.037615556,0.032440556,0.036930278,0.027421389,0.032350556,0.070210278,0.038327222,0.307387778,0.046575556,0.196955556
19/09/2017 8:30,0.012175,0.019968056,0.044181667,0.014779444,0.043893889,0.059363056,0.037385833,0.030615833,0.059033611,0.015863333,0.063115833,0.048404167,0.1961075
19/09/2017 9:00,0.047832222,0.019835556,0.126926389,0.016824444,0.036526944,0.119037222,0.009050833,0.090261389,0.008250833,0.038533333,0.014793611,0.027193056,0.211318889
19/09/2017 9:30,0.055131944,0.030923333,0.2049625,0.0263675,0.129625833,0.518581111,0.038514444,0.023376944,0.072068611,0.023076389,0.014746111,0.037373333,0.224968889
19/09/2017 10:00,0.043998611,0.008598611,0.014680556,0.002382222,0.052094444,0.077405556,0.009192778,0.0260325,0.060243611,0.031575833,0.048085278,0.012594167,0.227568333
19/09/2017 10:30,0.0225025,0.036298056,0.023435278,0.028871389,0.0411925,0.0442675,0.039787222,0.036336667,0.007634444,0.054656944,0.052682778,0.022773611,0.361144722
19/09/2017 11:00,0.022541389,0.003116944,0.034421667,0.015245556,0.041443056,0.054583611,0.019696667,0.053798333,0.071583056,0.172795556,0.014624722,0.0057275,0.325070278
19/09/2017 11:30,0.023624444,0.036286389,0.030003056,0.020052222,0.101179167,0.030242778,0.0276525,0.062326667,0.052125833,0.062624444,0.014521944,0.018710556,0.241228611
19/09/2017 12:00,0.022733056,0.004904722,0.009484722,0.020846944,0.082825,0.071469722,0.039138333,0.014128889,0.015608056,0.048213333,0.055377778,0.007954167,0.225094722
19/09/2017 12:30,0.023591944,0.034521111,0.030720556,0.002398056,0.045184722,0.074942778,0.009299722,0.026843889,0.131217222,0.045558333,0.034952778,0.026192778,0.221786389
19/09/2017 13:00,0.254641667,0.014113333,0.033595,0.036390833,0.0305725,0.084911944,0.041025278,0.011095556,0.074816667,0.125711111,0.014699444,0.021046111,0.226036111
19/09/2017 13:30,0.086288333,0.025803056,0.0199275,0.005378333,0.058309167,0.078156389,0.012028056,0.056425556,0.076929722,0.025270833,0.029776389,0.008360556,0.2245
19/09/2017 14:00,0.082097222,0.023291111,0.016328333,0.017304444,0.0488775,0.068641111,0.038233611,0.030404444,0.074121944,0.045641667,0.063606944,0.018441111,0.410012222
19/09/2017 14:30,0.3119925,0.016926944,0.033775,0.025636944,0.023041944,0.090012222,0.0347525,0.058798056,0.072016111,0.039501667,0.014812778,0.021821944,0.266666944
19/09/2017 15:00,0.046544444,0.0329325,0.0338275,0.002405,0.038799167,0.039873889,0.038393611,0.032019444,0.0694925,0.025844722,0.014836667,0.011056389,0.242653611
19/09/2017 15:30,0.037606944,0.007231667,0.012675556,0.033260278,0.048900278,0.076071111,0.062883333,0.057900556,0.004660833,0.044170278,0.0591375,0.013672222,0.405638056
19/09/2017 16:00,0.032334444,0.037145556,0.024216667,0.060449722,0.043808611,0.026960278,0.035280556,0.031915,0.069998889,0.024648611,0.033051111,0.021419722,0.364218611
19/09/2017 16:30,0.033119444,0.003170556,0.034567778,0.042223333,0.019007222,0.077088056,0.0710875,0.057533056,0.07,0.040699167,0.014816944,0.014370833,0.273094722
19/09/2017 17:00,0.022305278,0.036726389,0.0324125,0.030794444,0.039866944,0.060860278,0.044882222,0.030733333,0.015164167,0.044050833,0.037111111,0.0093225,0.373601111
19/09/2017 17:30,0.051260278,0.007216389,0.012455278,0.002306944,0.043113889,0.146073056,0.088879444,0.065622778,0.055068611,0.041713611,0.050937778,0.021073333,0.361988889
19/09/2017 18:00,0.024507222,0.052328611,0.027168333,0.037155,0.047181111,0.121573333,0.073672778,0.139950278,0.089204167,0.089729722,0.014788889,0.017799167,0.460078056
19/09/2017 18:30,0.058938611,0.016951111,0.033786667,0.055170833,0.030516389,0.180035278,0.077251111,0.074740556,0.038042778,0.069164722,0.106404722,0.006275278,0.444114167
19/09/2017 19:00,0.057860556,0.024673056,0.024288333,0.026150833,0.048826389,0.126858889,0.083628333,0.019431944,0.049523611,0.075345833,0.066248056,0.019961111,0.412815278
19/09/2017 19:30,0.028396111,0.030236944,0.011758333,0.054061944,0.051630556,0.182754722,0.068933611,0.042246389,0.079355556,0.084414167,0.017210278,0.020690833,0.470761667
19/09/2017 20:00,0.031614722,0.011440278,0.032770556,0.144031389,0.050376667,0.195492222,0.089916111,0.030460278,0.029485833,0.060228333,0.0147575,0.023471389,0.394932778
19/09/2017 20:30,0.053122778,0.077365833,0.032519444,0.042214167,0.0294775,0.145421389,0.068180278,0.025350833,0.088363611,0.083811389,0.051439167,0.034431389,0.320480278
19/09/2017 21:00,0.0539625,0.054905,0.013332222,0.061292222,0.050599167,0.181510833,0.08022,0.039473056,0.108469167,0.136980833,0.039122778,0.038371667,0.312479167
19/09/2017 21:30,0.054854722,0.033743889,0.021461667,0.089126389,0.051158889,0.179953611,0.0468025,0.010342222,0.087768333,0.225483611,0.210025,0.011138056,0.305209444
19/09/2017 22:00,0.0521425,0.055012222,0.032555278,0.014463056,0.033045556,0.138608333,0.043241944,0.031321944,0.088516389,1.034964722,0.94617,0.010413056,0.307543333
19/09/2017 22:30,0.0709325,0.026882778,0.02569,0.048843889,0.037273611,0.180305833,0.030426389,0.007844167,0.086708889,1.014301944,0.986134722,0.017546944,0.307609722
19/09/2017 23:00,0.044198889,0.046625278,0.009561944,0.016470278,0.048811944,0.197579444,0.026845833,0.031599167,0.085789722,1.121568889,0.617076667,0.013799722,0.303789167
19/09/2017 23:30,0.054639167,0.060933611,0.031765833,0.033523889,0.058068056,0.099322222,0.039609167,0.023908611,0.084541667,1.016730556,0.035990278,0.022078889,0.308954722
20/09/2017 0:00,0.050488056,0.017057778,0.031801944,0.0325525,0.080188333,0.123836111,0.016964722,0.007917222,0.0515925,1.003375,0.056205833,0.014924722,0.308845
20/09/2017 0:30,0.044976111,0.038059444,0.006165556,0.014045278,0.073995556,0.124513611,0.045317778,0.022741389,0.049691389,0.903077778,0.086123889,0.008568333,0.310358056
20/09/2017 1:00,0.030118889,0.005194167,0.028093056,0.048953056,0.088379722,0.091591389,0.009550833,0.000431389,0.086198611,0.0573275,0.022026389,0.021076944,0.309934167
20/09/2017 1:30,0.011044722,0.03575,0.031336389,0.018881667,0.070253611,0.090026111,0.044408889,0.024982222,0.085262222,0.030131667,0.014542222,0.017785556,0.312056944
20/09/2017 2:00,0.010884167,0.019201111,0.0098825,0.024985556,0.054416667,0.083571111,0.018241389,0.000471111,0.025714167,0.040300556,0.048074444,0.006048611,0.313889167
20/09/2017 2:30,0.010987778,0.021646667,0.071623056,0.043022778,0.0366075,0.042533056,0.036281111,0.025511389,0.075179167,0.016755833,0.050951944,0.019755278,0.310280278
20/09/2017 3:00,0.0125075,0.032318889,0.064536111,0.014340556,0.020026667,0.073022222,0.031793056,0.000428333,0.086180278,0.040070556,0.019207222,0.020293889,0.313505833
20/09/2017 3:30,0.010762222,0.00825,0.031250833,0.036271111,0.043053056,0.0576625,0.020154722,0.0255325,0.043740556,0.035345833,0.014982222,0.004430556,0.312710278
20/09/2017 4:00,0.010785278,0.036651944,0.041358611,0.031754167,0.041706667,0.052164167,0.043977778,0.000427222,0.056725556,0.021095833,0.061999167,0.018886111,0.314148056
20/09/2017 4:30,0.0108425,0.003367222,0.030616111,0.138346389,0.023193333,0.060072778,0.009573611,0.025603611,0.144639444,0.039610278,0.033700556,0.020466389,0.311485278
20/09/2017 5:00,0.010753611,0.036207778,0.007580556,0.055926944,0.028255,0.045409167,0.042896667,0.000411944,0.094468889,0.021418611,0.014805833,0.005160556,0.312015833
20/09/2017 5:30,0.010762778,0.013306667,0.033146667,0.026690833,0.039548889,0.054008056,0.009554722,0.025613056,0.090819167,0.034486389,0.033359167,0.017940556,0.311034444
20/09/2017 6:00,0.060706389,0.034025,0.032015,0.103488889,0.038684722,0.048746667,0.043306944,0.000487778,0.0872525,0.039022222,0.059609722,0.020273333,0.204913056
20/09/2017 6:30,0.061333333,0.040793056,0.002679722,0.015823333,0.01763,0.042455833,0.015161944,0.025419167,0.085246389,0.016321389,0.014520556,0.004508889,0.199169722
20/09/2017 7:00,0.043564722,0.033741667,0.031175278,0.002337222,0.028139444,0.055922778,0.035980833,0.000501667,0.067889722,0.038348333,0.015544722,0.0182625,0.195011389
20/09/2017 7:30,0.0110725,0.049017778,0.029404444,0.037125556,0.038868056,0.030261667,0.028118611,0.022834444,0.035704722,0.027048611,0.056970833,0.019894167,0.196326667
20/09/2017 8:00,0.019898889,0.018304167,0.003806389,0.002283333,0.036920556,0.063340833,0.027126667,0.012225833,0.094196667,0.027211389,0.039260556,0.0042525,0.322523611
20/09/2017 8:30,0.022547222,0.043403611,0.030324722,0.018988333,0.019811111,0.0190825,0.0571825,0.099683333,0.092181944,0.0381825,0.016185,0.018066111,0.222663611
20/09/2017 9:00,0.022148056,0.011314167,0.023673056,0.056371944,0.028738611,0.070499167,0.024684444,0.024496944,0.033614444,0.015904167,0.019892222,0.020101667,0.197556389
20/09/2017 9:30,0.023052778,0.043351667,0.009371111,0.041841111,0.036467222,0.022375556,0.051006667,0.044384444,0.050181389,0.038308889,0.066984444,0.004174167,0.219488333
20/09/2017 10:00,0.023596944,0.219375556,0.0307675,0.022185556,0.145622778,0.074262778,0.023840278,0.020730556,0.078134444,0.033499722,0.073998889,0.018540556,0.222464444
20/09/2017 10:30,0.021936389,0.031765833,0.022533056,0.008406111,0.011802778,0.024944722,0.072203333,0.235359167,0.042725833,0.036223333,0.045735833,0.0369725,0.22177
20/09/2017 11:00,0.051545556,0.022444444,0.011170556,0.162445278,0.032005278,0.162899722,0.042624167,0.045605556,0.042043056,0.062615833,0.048660833,0.030256944,0.224069444
