timestamp,cp,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11,total
27/02/2017 0:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 1:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 1:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 2:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 2:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 3:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 3:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 4:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 4:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 5:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 5:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 6:00,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.000887075,0.009757825
27/02/2017 6:30,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.008303946,0.091343406
27/02/2017 7:00,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.022397589,0.246373479
27/02/2017 7:30,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.050382442,0.554206862
27/02/2017 8:00,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.073288082,0.806168902
27/02/2017 8:30,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.087470076,0.962170836
27/02/2017 9:00,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,0.109383095,1.203214045
27/02/2017 9:30,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,0.134865089,1.483515979
27/02/2017 10:00,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,0.141912098,1.561033078
27/02/2017 10:30,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,0.169321424,1.862535664
27/02/2017 11:00,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,0.181640986,1.998050846
27/02/2017 11:30,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,0.195565988,2.151225868
27/02/2017 12:00,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,0.149547134,1.645018474
27/02/2017 12:30,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,0.119431397,1.313745367
27/02/2017 13:00,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,0.110499288,1.215492168
27/02/2017 13:30,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,0.11785825,1.29644075
27/02/2017 14:00,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,0.124357135,1.367928485
27/02/2017 14:30,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,0.108581425,1.194395675
27/02/2017 15:00,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,0.117992426,1.297916686
27/02/2017 15:30,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,0.136234453,1.498578983
27/02/2017 16:00,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,0.100877202,1.109649222
27/02/2017 16:30,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.090705916,0.997765076
27/02/2017 17:00,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.069071362,0.759784982
27/02/2017 17:30,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.037489509,0.412384599
27/02/2017 18:00,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.014652661,0.161179271
27/02/2017 18:30,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.00193357,0.02126927
27/02/2017 19:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 19:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 20:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 20:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 21:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 21:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 22:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 22:30,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 23:00,0,0,0,0,0,0,0,0,0,0,0,0
27/02/2017 23:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 0:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 0:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 1:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 1:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 2:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 2:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 3:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 3:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 4:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 4:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 5:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 5:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 6:00,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.000923078,0.010153858
28/02/2017 6:30,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.008377341,0.092150751
28/02/2017 7:00,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.022411318,0.246524498
28/02/2017 7:30,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.032731026,0.360041286
28/02/2017 8:00,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.046732255,0.514054805
28/02/2017 8:30,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.082940636,0.912346996
28/02/2017 9:00,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,0.114847986,1.263327846
28/02/2017 9:30,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,0.144331357,1.587644927
28/02/2017 10:00,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,0.19231586,2.11547446
28/02/2017 10:30,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,0.251650695,2.768157645
28/02/2017 11:00,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,0.275837123,3.034208353
28/02/2017 11:30,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,0.271719275,2.988912025
28/02/2017 12:00,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,0.259206416,2.851270576
28/02/2017 12:30,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,0.26812986,2.94942846
28/02/2017 13:00,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,0.275488688,3.030375568
28/02/2017 13:30,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,0.281874605,3.100620655
28/02/2017 14:00,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,0.270894892,2.979843812
28/02/2017 14:30,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,0.252130204,2.773432244
28/02/2017 15:00,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,0.213303408,2.346337488
28/02/2017 15:30,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,0.177289486,1.950184346
28/02/2017 16:00,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,0.133054251,1.463596761
28/02/2017 16:30,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.089707841,0.986786251
28/02/2017 17:00,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.046637906,0.513016966
28/02/2017 17:30,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.014876542,0.163641962
28/02/2017 18:00,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.003826235,0.042088585
28/02/2017 18:30,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.000619872,0.006818592
28/02/2017 19:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 19:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 20:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 20:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 21:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 21:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 22:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 22:30,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 23:00,0,0,0,0,0,0,0,0,0,0,0,0
28/02/2017 23:30,0,0,0,0,0,0,0,0,0,0,0,0
