scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
10,T_bldg1_010,cp_only,15.0,T,0.0,0.0,7989.860216082116,1607.688996125845,0.0,1607.688996125845,0.0,0.0,0.0,-9.313225746154784e-12,5.101381960911605,-2569.4632402534685,0.0,5420.3969758286485,0.0,0.0,0.0,-125487.94376662213,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,21545.871701634198,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,29535.73191771633,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA302,,5.0,0.06,T_max_pv,30.75,2.05,-8365.86291777481,-7202.760348260654,-1163.1025695141561,0.10277481333309879,0.10277481333309879,0.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,892.4193446576181,-232.62051390283122,-3489.3077085424684,a15_cp5,a15_cp5_pv030
11,T_bldg1_011,cp_only,15.0,T,0.0,0.0,4588.255304244562,1607.688996125845,0.0,1607.688996125845,0.0,0.0,0.0,-4.6566128730773935e-12,5.101381960911605,-2569.4632402534685,0.0,2018.792063991092,0.0,0.0,0.0,-194968.90812083374,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,21545.871701634198,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,26134.12700587877,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA302,,10.0,0.06,T_max_pv,30.75,2.05,-12997.927208055584,-12647.423514520991,-350.50369353459246,0.10277481333309879,0.10277481333309879,1.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,1784.8386893152363,-35.050369353459246,-525.7555403018887,a15_cp5,a15_cp5_pv030
12,T_bldg1_012,cp_only,15.0,T,0.0,0.0,4795.300811068192,1607.688996125845,0.0,1607.688996125845,0.0,0.0,0.0,-4.6566128730773935e-12,5.101381960911605,-2569.4632402534685,0.0,2225.8375708147228,0.0,0.0,0.0,-259232.3298603687,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,21545.871701634198,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,26341.172512702404,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA302,,15.0,0.06,T_max_pv,30.75,2.05,-17282.15532402458,-16683.945403902104,-598.2099201224773,0.10277481333309879,0.10277481333309879,2.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,2677.2580339728543,-39.88066134149849,-598.2099201224773,a15_cp5,a15_cp5_pv030
13,T_bldg1_013,cp_only,15.0,T,0.0,0.0,4071.191132908064,1607.688996125845,0.0,1607.688996125845,0.0,0.0,0.0,-9.313225746154784e-12,5.101381960911605,-2569.4632402534685,0.0,1501.7278926545957,0.0,0.0,0.0,-297325.8819045389,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,21545.871701634198,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,25617.062834542274,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA302,,20.0,0.06,T_max_pv,30.75,2.05,-19821.725460302594,-19676.510502220954,-145.21495808164036,0.10277481333309879,0.10277481333309879,3.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,3569.6773786304725,-7.260747904082018,-108.91121856123027,a15_cp5,a15_cp5_pv030
14,T_bldg1_014,cp_only,15.0,T,0.0,0.0,4659.845456103835,1607.688996125845,0.0,1607.688996125845,0.0,0.0,0.0,-4.6566128730773935e-12,5.101381960911605,-2569.4632402534685,0.0,2090.3822158503667,0.0,0.0,0.0,-338453.16648747283,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,21545.871701634198,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,26205.717157738043,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA302,,25.0,0.06,T_max_pv,30.75,2.05,-22563.544432498187,-21895.115061565764,-668.4293709324229,0.10277481333309879,0.10277481333309879,4.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,4462.096723288091,-26.737174837296916,-401.05762255945376,a15_cp5,a15_cp5_pv030
15,T_bldg1_015,cp_only,15.0,T,0.0,0.0,7989.860216082116,1607.6376087191782,0.0,1607.6376087191782,0.0,0.0,0.0,0.0,5.101381960911605,-4237.184648038376,0.0,3752.675568043741,0.0,0.0,0.0,-118399.05027578946,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,19877.3794827493,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,27867.23969883141,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA302,,5.0,0.06,T_max_pv,30.75,2.05,-7893.270018385964,-7202.760348260654,-690.5096701253105,0.15416221999998925,0.15416221999998925,0.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,892.4193446576181,-138.10193402506212,-2071.5290103759316,a15_cp5,a15_cp5_pv030
16,T_bldg1_016,cp_only,15.0,T,0.0,0.0,4588.255304244562,1607.6376087191782,0.0,1607.6376087191782,0.0,0.0,0.0,4.6566128730773935e-12,5.101381960911605,-4237.184648038376,0.0,351.0706562061846,0.0,0.0,0.0,-182521.42494869942,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,19877.3794827493,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,24465.634786993858,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA302,,10.0,0.06,T_max_pv,30.75,2.05,-12168.094996579961,-12647.423514520991,479.32851794103044,0.15416221999998925,0.15416221999998925,1.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,1784.8386893152363,47.932851794103044,718.9927769115457,a15_cp5,a15_cp5_pv030
17,T_bldg1_017,cp_only,15.0,T,0.0,0.0,4795.300811068192,1607.6376087191782,0.0,1607.6376087191782,0.0,0.0,0.0,0.0,5.101381960911605,-4237.184648038376,0.0,558.1161630298162,0.0,0.0,0.0,-242812.1372874356,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,19877.3794827493,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,24672.68029381749,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA302,,15.0,0.06,T_max_pv,30.75,2.05,-16187.475819162373,-16683.945403902104,496.46958473973064,0.15416221999998925,0.15416221999998925,2.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,2677.2580339728543,33.09797231598204,496.46958473973064,a15_cp5,a15_cp5_pv030
18,T_bldg1_018,cp_only,15.0,T,0.0,0.0,4071.191132908064,1607.6376087191782,0.0,1607.6376087191782,0.0,0.0,0.0,0.0,5.101381960911605,-4237.184648038376,0.0,-165.99351513031172,0.0,0.0,0.0,-277960.4330380948,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,19877.3794827493,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,23948.570615657358,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA302,,20.0,0.06,T_max_pv,30.75,2.05,-18530.695535872987,-19676.510502220954,1145.8149663479671,0.15416221999998925,0.15416221999998925,3.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,3569.6773786304725,57.290748317398354,859.3612247609753,a15_cp5,a15_cp5_pv030
19,T_bldg1_019,cp_only,15.0,T,0.0,0.0,4659.845456103835,1607.6376087191782,0.0,1607.6376087191782,0.0,0.0,0.0,4.6566128730773935e-12,5.101381960911605,-4237.184648038376,0.0,422.6608080654592,0.0,0.0,0.0,-316904.18649420573,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,19877.3794827493,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,24537.22493885313,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc_FIT12,EASO_TOU_15pc_FIT12,TIDNULL,EA302,,25.0,0.06,T_max_pv,30.75,2.05,-21126.945766280383,-21895.115061565764,768.1692952853809,0.15416221999998925,0.15416221999998925,4.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,4462.096723288091,30.726771811415237,460.90157717122855,a15_cp5,a15_cp5_pv030
20,T_bldg1_020,cp_only,15.0,T,0.0,0.0,5586.406329943593,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,772.471671102829,0.0,6358.8780010464225,0.0,0.0,0.0,-129481.80142510645,0.0,0.0,0.0,30259.47555980991,75737.02007559201,41.27101141897281,8458.826722113434,24889.348235190493,5.31704608363849,5.3170460836382745,2.194398696330488,2.194398696330396,0.0,30475.75456513408,0.0,77436.28081222216,T_best_fit.csv,T,cp_only,T_best_fit,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,5.0,0.06,T_best_fit,21.5,1.4333333333333333,-8632.120095007096,-7202.760348260654,-1429.3597467464424,0.0,0.0,0.0,31958.73629644013,24768.0206297411,1969.8006806833096,131.3200453788873,656.6002268944364,-285.87194934928846,-4288.079240239327,a15_cp5,a15_cp5_pv021
21,T_bldg1_021,cp_only,15.0,T,0.0,0.0,3208.0484241059526,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,772.471671102829,0.0,3980.5200952087816,0.0,0.0,0.0,-209615.52480665254,0.0,0.0,0.0,30259.47555980991,75737.02007559201,41.27101141897281,8458.826722113434,24889.348235190493,5.31704608363849,5.3170460836382745,2.194398696330488,2.194398696330396,0.0,28097.396659296446,0.0,77436.28081222216,T_best_fit.csv,T,cp_only,T_best_fit,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,10.0,0.06,T_best_fit,21.5,1.4333333333333333,-13974.368320443502,-12647.423514520991,-1326.9448059225106,0.0,0.0,1.0,31958.73629644013,24768.0206297411,1969.8006806833096,131.3200453788873,1313.200453788873,-132.69448059225107,-1990.417208883766,a15_cp5,a15_cp5_pv021
22,T_bldg1_022,cp_only,15.0,T,0.0,0.0,3352.81194920215,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,772.471671102829,0.0,4125.28362030498,0.0,0.0,0.0,-277940.5883074997,0.0,0.0,0.0,30259.47555980991,75737.02007559201,41.27101141897281,8458.826722113434,24889.348235190493,5.31704608363849,5.3170460836382745,2.194398696330488,2.194398696330396,0.0,28242.160184392636,0.0,77436.28081222216,T_best_fit.csv,T,cp_only,T_best_fit,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,15.0,0.06,T_best_fit,21.5,1.4333333333333333,-18529.372553833313,-16683.945403902104,-1845.427149931209,0.0,0.0,2.0,31958.73629644013,24768.0206297411,1969.8006806833096,131.3200453788873,1969.8006806833096,-123.02847666208059,-1845.427149931209,a15_cp5,a15_cp5_pv021
23,T_bldg1_023,cp_only,15.0,T,0.0,0.0,2846.523881545476,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,772.471671102829,0.0,3618.995552648305,0.0,0.0,0.0,-321917.9611169263,0.0,0.0,0.0,30259.47555980991,75737.02007559201,41.27101141897281,8458.826722113434,24889.348235190493,5.31704608363849,5.3170460836382745,2.194398696330488,2.194398696330396,0.0,27735.872116735965,0.0,77436.28081222216,T_best_fit.csv,T,cp_only,T_best_fit,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,20.0,0.06,T_best_fit,21.5,1.4333333333333333,-21461.197407795084,-19676.510502220954,-1784.68690557413,0.0,0.0,3.0,31958.73629644013,24768.0206297411,1969.8006806833096,131.3200453788873,2626.400907577746,-89.2343452787065,-1338.5151791805974,a15_cp5,a15_cp5_pv021
